296.868: [GC [PSYoungGen: 2622208K->37648K(2648384K)] 6445316K->3891367K(7068672K), 0.0794290 secs] [Times: user=0.57 sys=0.05, real=0.08 secs] 
299.793: [GC [PSYoungGen: 2608144K->36208K(2650176K)] 6461863K->3920717K(7070464K), 0.0761190 secs] [Times: user=0.57 sys=0.03, real=0.07 secs] 
302.678: [GC [PSYoungGen: 2607344K->76480K(2647680K)] 6491853K->3960989K(7067968K), 0.0793150 secs] [Times: user=0.63 sys=0.00, real=0.08 secs] 
305.578: [GC [PSYoungGen: 2647616K->82928K(2595712K)] 6532125K->4010468K(7016000K), 0.1148260 secs] [Times: user=0.83 sys=0.07, real=0.11 secs] 
308.453: [GC [PSYoungGen: 2595696K->73504K(2621696K)] 6523236K->4041086K(7041984K), 0.1082370 secs] [Times: user=0.79 sys=0.06, real=0.11 secs] 
311.359: [GC [PSYoungGen: 2586272K->86640K(2614080K)] 6553854K->4076081K(7034368K), 0.0995800 secs] [Times: user=0.76 sys=0.03, real=0.10 secs] 
314.422: [GC [PSYoungGen: 2592368K->86768K(2592512K)] 6581809K->4106296K(7012800K), 0.1051450 secs] [Times: user=0.78 sys=0.04, real=0.11 secs] 
317.512: [GC [PSYoungGen: 2592496K->74688K(2617280K)] 6612024K->4124258K(7037568K), 0.0955230 secs] [Times: user=0.70 sys=0.05, real=0.10 secs] 
321.528: [GC [PSYoungGen: 2576384K->68080K(2569792K)] 6625954K->4149813K(6990080K), 0.0982890 secs] [Times: user=0.69 sys=0.05, real=0.10 secs] 
326.562: [GC [PSYoungGen: 2569776K->71280K(2613632K)] 6651509K->4185236K(7033920K), 0.1012470 secs] [Times: user=0.70 sys=0.04, real=0.10 secs] 
334.343: [GC [PSYoungGen: 2575984K->105888K(2610624K)] 6689940K->4219981K(7030912K), 0.0964370 secs] [Times: user=0.72 sys=0.00, real=0.10 secs] 
348.433: [GC [PSYoungGen: 2610592K->63312K(2617408K)] 6724685K->4248257K(7037696K), 0.1197860 secs] [Times: user=0.80 sys=0.11, real=0.12 secs] 
372.979: [GC [PSYoungGen: 2564752K->113195K(2614656K)] 6749697K->4335277K(7034944K), 0.1490110 secs] [Times: user=1.09 sys=0.05, real=0.15 secs] 
374.946: [GC [PSYoungGen: 2614635K->59335K(2575104K)] 6836717K->4335484K(6995392K), 0.1031490 secs] [Times: user=0.75 sys=0.08, real=0.10 secs] 
