time,build_number,project_name,project_name_1,project_path,rf_critical_failed,rf_critical_passed,rf_duration,rf_failed,rf_name,rf_name_1,rf_passed,rf_suite_name
2019-08-25T21:44:43.750000105Z,5516,Altiplano,Altiplano,Altiplano,0,1,10533,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-25T22:39:34.974000105Z,5517,Altiplano,Altiplano,Altiplano,0,1,6803,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-25T23:44:58.389000105Z,5518,Altiplano,Altiplano,Altiplano,0,1,5548,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-26T00:35:47.309000105Z,5519,Altiplano,Altiplano,Altiplano,0,1,5621,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-26T01:29:27.002000105Z,5520,Altiplano,Altiplano,Altiplano,0,1,8671,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-26T02:20:52.287000105Z,5521,Altiplano,Altiplano,Altiplano,0,1,5898,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-26T03:11:59.296000105Z,5522,Altiplano,Altiplano,Altiplano,0,1,8667,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-26T04:07:27.673000105Z,5523,Altiplano,Altiplano,Altiplano,0,1,5815,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-26T05:30:10.623000105Z,5524,Altiplano,Altiplano,Altiplano,1,0,4,1,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,0,Device Configuration
2019-08-26T06:25:02.688000104Z,5525,Altiplano,Altiplano,Altiplano,0,1,5936,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-26T08:17:12.649000104Z,5527,Altiplano,Altiplano,Altiplano,0,1,6353,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-26T09:14:12.565000104Z,5528,Altiplano,Altiplano,Altiplano,0,1,6782,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-26T10:22:08.854000104Z,5529,Altiplano,Altiplano,Altiplano,0,1,5925,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-26T11:24:29.741000104Z,5530,Altiplano,Altiplano,Altiplano,0,1,8576,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-26T12:17:30.316000104Z,5531,Altiplano,Altiplano,Altiplano,0,1,8451,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-26T13:15:56.507000104Z,5532,Altiplano,Altiplano,Altiplano,0,1,6375,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-26T14:13:18.552000104Z,5533,Altiplano,Altiplano,Altiplano,0,1,6357,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-26T15:25:40.842000104Z,5534,Altiplano,Altiplano,Altiplano,0,1,8769,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-26T16:29:02.103000104Z,5535,Altiplano,Altiplano,Altiplano,0,1,7916,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-26T17:27:55.946000104Z,5536,Altiplano,Altiplano,Altiplano,0,1,9066,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-26T18:29:40.984000104Z,5537,Altiplano,Altiplano,Altiplano,0,1,11382,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-26T20:12:52.378000104Z,5538,Altiplano,Altiplano,Altiplano,0,1,6687,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-26T21:23:30.172000104Z,5539,Altiplano,Altiplano,Altiplano,0,1,6613,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-26T22:53:47.605000104Z,5540,Altiplano,Altiplano,Altiplano,0,1,8808,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-26T23:47:37.187000104Z,5541,Altiplano,Altiplano,Altiplano,0,1,8687,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-27T01:12:35.848000104Z,5543,Altiplano,Altiplano,Altiplano,0,1,5547,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-27T03:12:17.999000104Z,5545,Altiplano,Altiplano,Altiplano,0,1,5915,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-27T04:08:29.826000104Z,5546,Altiplano,Altiplano,Altiplano,0,1,6375,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-27T05:09:23.920000104Z,5547,Altiplano,Altiplano,Altiplano,0,1,8874,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-27T06:32:23.235000104Z,5548,Altiplano,Altiplano,Altiplano,0,1,5605,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-27T07:26:43.851000104Z,5549,Altiplano,Altiplano,Altiplano,0,1,8842,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-27T08:21:07.874000104Z,5550,Altiplano,Altiplano,Altiplano,0,1,5872,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-27T10:44:08.721000104Z,5551,Altiplano,Altiplano,Altiplano,0,1,8489,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-27T11:42:21.126000104Z,5552,Altiplano,Altiplano,Altiplano,0,1,6184,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-27T12:48:25.640000104Z,5553,Altiplano,Altiplano,Altiplano,0,1,9709,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-27T13:49:01.574000104Z,5554,Altiplano,Altiplano,Altiplano,0,1,9019,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-27T14:57:33.683000104Z,5555,Altiplano,Altiplano,Altiplano,0,1,6776,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-27T16:00:08.327000104Z,5556,Altiplano,Altiplano,Altiplano,0,1,8669,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-27T17:02:57.540000104Z,5557,Altiplano,Altiplano,Altiplano,0,1,5292,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
